frame,id,team,jersey,x_center,y_center,dist_to_ball,nearest_ids,nearest_dists
3,16,other,,260.46,150.53,,"[69, 50, 71]","[31.48, 43.16, 52.82]"
3,15,other,,373.02,283.47,,"[23, 29, 19]","[19.34, 24.74, 32.79]"
3,14,green,,374.59,222.52,,"[68, 29, 15]","[57.41, 58.34, 60.97]"
6,71,green,,322.07,159.25,,"[68, 50, 28]","[38.05, 43.35, 44.92]"
6,70,other,,453.08,251.92,,"[60, 61, 27]","[31.16, 40.35, 72.51]"
6,69,green,,249.79,125.0,,"[16, 50, 71]","[31.34, 45.24, 79.99]"
6,68,green,,358.27,170.99,,"[71, 28, 14]","[38.05, 57.2, 57.78]"
6,67,green,,307.03,274.61,,"[19, 44, 41]","[48.83, 52.22, 53.44]"
6,66,black,,491.37,325.2,,"[18, 25, 60]","[25.1, 44.61, 54.32]"
6,64,other,,209.19,350.06,,"[44, 41, 47]","[111.71, 120.54, 123.26]"
6,63,other,,552.77,186.34,,"[27, 60, 70]","[68.43, 115.91, 119.33]"
6,62,other,,135.63,209.1,,"[51, 30, 48]","[26.83, 33.52, 113.24]"
6,61,black,,421.32,276.81,,"[23, 70, 15]","[33.04, 40.35, 49.54]"
6,60,black,,475.93,273.12,,"[70, 18, 66]","[31.16, 46.08, 54.32]"
6,51,other,,112.29,195.87,,"[30, 62, 48]","[23.74, 26.83, 138.64]"
6,50,other,,295.02,125.37,,"[16, 71, 69]","[41.7, 43.35, 45.24]"
6,48,other,,247.59,226.08,,"[32, 47, 28]","[2.42, 13.17, 67.26]"
6,47,other,,256.15,236.1,,"[32, 48, 67]","[10.99, 13.17, 63.81]"
6,44,green,,318.19,325.62,,"[41, 19, 36]","[8.84, 37.92, 47.77]"
6,42,black,,621.44,349.89,,"[26, 24, 25]","[6.93, 46.64, 96.04]"
6,41,other,,326.92,324.2,,"[44, 19, 36]","[8.84, 30.56, 38.95]"
6,36,black,,365.79,321.63,,"[19, 41, 15]","[26.94, 38.95, 39.07]"
6,33,black,,410.06,340.32,,"[31, 36, 23]","[15.77, 48.06, 51.12]"
6,32,other,,248.31,228.4,,"[48, 47, 28]","[2.42, 10.99, 67.43]"
6,31,referee,,419.95,328.03,,"[33, 23, 61]","[15.77, 45.14, 51.24]"
6,30,other,,126.49,176.85,,"[51, 62, 48]","[23.74, 33.52, 130.73]"
6,28,black,,310.65,202.7,,"[71, 68, 47]","[44.92, 57.2, 63.93]"
6,27,green,,525.53,249.12,,"[60, 18, 63]","[55.11, 59.84, 68.43]"
6,26,black,,614.94,347.47,,"[42, 24, 25]","[6.93, 40.29, 89.7]"
6,25,green,,525.48,353.95,,"[66, 24, 18]","[44.61, 49.42, 50.79]"
6,24,green,,574.82,351.13,,"[26, 42, 25]","[40.29, 46.64, 49.42]"
6,23,black,,392.2,292.43,,"[15, 61, 36]","[22.1, 33.04, 39.37]"
6,19,other,,347.63,301.73,,"[36, 41, 15]","[26.94, 30.56, 30.82]"
6,18,black,,507.9,306.3,,"[66, 60, 25]","[25.1, 46.08, 50.79]"
6,16,other,,263.81,153.02,,"[69, 50, 71]","[31.34, 41.7, 58.59]"
6,15,other,,372.17,283.08,,"[23, 19, 36]","[22.1, 30.82, 39.07]"
6,14,green,,380.5,224.32,,"[68, 15, 61]","[57.78, 59.34, 66.49]"
7,80,black,,612.58,347.42,,"[26, 42, 24]","[2.45, 8.74, 37.41]"
7,76,green,,289.99,349.9,,"[41, 19, 64]","[45.08, 75.77, 77.39]"
7,74,other,,268.79,242.94,,"[59, 47, 32]","[5.8, 14.31, 19.2]"
7,71,green,,323.49,160.47,,"[68, 28, 50]","[39.23, 44.26, 44.36]"
7,70,green,,456.13,252.75,,"[60, 61, 27]","[30.06, 41.44, 64.78]"
7,69,green,,252.58,125.77,,"[16, 50, 71]","[30.69, 42.79, 78.94]"
7,68,green,,361.09,171.63,,"[71, 14, 28]","[39.23, 57.41, 58.72]"
7,67,green,,308.9,273.76,,"[19, 74, 41]","[47.86, 50.59, 54.14]"
7,66,black,,493.77,326.45,,"[18, 25, 60]","[24.65, 41.89, 54.7]"
7,64,other,,212.61,350.74,,"[76, 41, 74]","[77.39, 117.67, 121.56]"
7,63,other,,553.17,187.38,,"[27, 60, 70]","[70.11, 115.67, 117.01]"
7,62,other,,139.18,209.87,,"[51, 30, 32]","[26.23, 31.61, 115.49]"
7,61,black,,422.19,276.53,,"[23, 70, 15]","[32.21, 41.44, 50.07]"
7,60,black,,476.98,274.4,,"[70, 18, 27]","[30.06, 46.13, 50.39]"
7,59,other,,263.6,240.37,,"[74, 47, 32]","[5.8, 8.64, 13.42]"
7,51,other,,116.98,195.89,,"[30, 62, 32]","[22.06, 26.23, 140.35]"
7,50,other,,295.36,126.17,,"[16, 69, 71]","[40.46, 42.79, 44.36]"
7,47,other,,257.17,234.6,,"[32, 59, 74]","[5.09, 8.64, 14.31]"
7,42,black,,620.94,350.01,,"[26, 80, 24]","[6.51, 8.74, 45.59]"
7,41,other,,327.36,324.67,,"[19, 36, 76]","[31.28, 39.08, 45.08]"
7,36,black,,366.34,322.04,,"[19, 41, 23]","[27.68, 39.08, 41.04]"
7,33,black,,411.86,340.62,,"[31, 36, 23]","[15.43, 49.16, 52.55]"
7,32,other,,252.31,233.1,,"[47, 59, 74]","[5.09, 13.42, 19.2]"
7,31,referee,,422.35,329.29,,"[33, 23, 61]","[15.43, 47.61, 52.75]"
7,30,other,,131.43,179.23,,"[51, 62, 32]","[22.06, 31.61, 132.34]"
7,28,black,,311.5,203.07,,"[71, 74, 68]","[44.26, 58.42, 58.72]"
7,27,green,,520.84,249.59,,"[60, 18, 70]","[50.39, 58.87, 64.78]"
7,26,black,,615.03,347.29,,"[80, 42, 24]","[2.45, 6.51, 39.86]"
7,25,green,,525.32,354.01,,"[66, 18, 24]","[41.89, 49.37, 50.12]"
7,24,green,,575.36,351.18,,"[80, 26, 42]","[37.41, 39.86, 45.59]"
7,23,black,,393.59,291.34,,"[15, 61, 36]","[23.95, 32.21, 41.04]"
7,19,other,,348.08,301.24,,"[36, 41, 15]","[27.68, 31.28, 31.92]"
7,18,black,,509.3,307.31,,"[66, 60, 25]","[24.65, 46.13, 49.37]"
7,16,other,,265.59,153.57,,"[69, 50, 71]","[30.69, 40.46, 58.3]"
7,15,other,,372.28,280.42,,"[23, 19, 36]","[23.95, 31.92, 42.04]"
7,14,other,,382.64,224.84,,"[15, 68, 61]","[56.54, 57.41, 65.09]"
8,80,black,,612.76,346.83,,"[26, 42, 24]","[3.79, 10.44, 37.13]"
8,76,green,,291.19,349.89,,"[41, 19, 64]","[44.03, 74.34, 75.3]"
8,74,other,,273.84,244.17,,"[47, 32, 67]","[16.46, 19.53, 47.87]"
8,71,green,,325.73,161.11,,"[68, 28, 50]","[40.11, 44.77, 44.78]"
8,70,green,,458.41,253.44,,"[60, 61, 27]","[29.7, 41.97, 58.55]"
8,69,green,,255.29,126.56,,"[16, 50, 71]","[29.2, 40.88, 78.46]"
8,68,green,,364.32,172.05,,"[71, 14, 28]","[40.11, 57.09, 60.84]"
8,67,green,,311.32,273.95,,"[19, 74, 41]","[47.5, 47.87, 54.1]"
8,66,black,,496.61,327.35,,"[18, 60, 31]","[23.25, 55.1, 71.67]"
8,65,other,,216.61,216.02,,"[32, 47, 74]","[44.34, 47.66, 63.77]"
8,64,other,,215.9,351.01,,"[76, 41, 74]","[75.3, 114.81, 121.54]"
8,63,other,,553.67,188.63,,"[27, 60, 70]","[71.53, 114.74, 115.22]"
8,62,other,,143.49,209.42,,"[45, 30, 65]","[26.36, 30.85, 73.42]"
8,61,black,,423.46,276.68,,"[23, 70, 60]","[32.42, 41.97, 55.05]"
8,60,black,,478.49,275.31,,"[70, 27, 18]","[29.7, 45.99, 47.03]"
8,50,other,,296.16,127.49,,"[16, 69, 71]","[39.52, 40.88, 44.78]"
8,47,other,,260.61,234.37,,"[32, 74, 65]","[3.53, 16.46, 47.66]"
8,45,other,,124.1,191.58,,"[30, 62, 65]","[18.03, 26.36, 95.69]"
8,42,black,,622.79,349.76,,"[26, 80, 24]","[6.67, 10.44, 46.86]"
8,41,other,,327.83,325.47,,"[19, 36, 76]","[30.78, 38.65, 44.03]"
8,36,black,,366.4,322.87,,"[19, 41, 23]","[26.47, 38.65, 42.42]"
8,33,black,,413.03,341.0,,"[31, 36, 23]","[14.87, 50.04, 53.4]"
8,32,other,,257.08,234.14,,"[47, 74, 65]","[3.53, 19.53, 44.34]"
8,31,referee,,425.11,332.34,,"[33, 23, 61]","[14.87, 51.54, 55.69]"
8,30,other,,137.22,179.21,,"[45, 62, 65]","[18.03, 30.85, 87.51]"
8,28,green,,312.46,203.87,,"[71, 74, 47]","[44.77, 55.82, 60.16]"
8,27,green,,516.86,249.96,,"[60, 70, 18]","[45.99, 58.55, 59.5]"
8,26,black,,616.45,347.69,,"[80, 42, 24]","[3.79, 6.67, 40.69]"
8,24,green,,575.97,351.86,,"[80, 26, 42]","[37.13, 40.69, 46.86]"
8,23,black,,394.36,290.97,,"[61, 36, 19]","[32.42, 42.42, 47.04]"
8,19,other,,348.89,303.02,,"[36, 41, 23]","[26.47, 30.78, 47.04]"
8,18,black,,511.12,309.18,,"[66, 60, 27]","[23.25, 47.03, 59.5]"
8,16,green,,266.44,153.54,,"[69, 50, 71]","[29.2, 39.52, 59.78]"
8,14,other,,384.63,225.41,,"[68, 61, 23]","[57.09, 64.31, 66.28]"
9,87,other,,375.52,284.49,,"[23, 78, 19]","[20.03, 29.55, 33.64]"
9,78,green,,404.11,277.0,,"[23, 61, 87]","[16.63, 20.13, 29.55]"
9,76,green,,294.02,351.13,,"[22, 41, 19]","[33.37, 41.92, 71.64]"
9,74,other,,277.59,244.8,,"[32, 67, 28]","[21.06, 46.13, 53.9]"
9,71,green,,327.67,161.1,,"[68, 50, 28]","[41.57, 44.8, 45.65]"
9,70,green,,460.86,253.73,,"[60, 61, 27]","[28.42, 43.39, 54.41]"
9,69,green,,258.93,128.39,,"[16, 50, 71]","[27.9, 38.34, 76.12]"
9,68,green,,367.32,173.57,,"[71, 14, 28]","[41.57, 55.94, 62.22]"
9,67,green,,313.44,273.82,,"[74, 19, 41]","[46.13, 48.51, 53.46]"
9,66,black,,499.33,327.18,,"[18, 60, 31]","[21.17, 55.78, 71.37]"
9,65,other,,220.58,217.31,,"[32, 74, 62]","[42.32, 63.29, 73.65]"
